"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","02-05-25","B","580","10.00","0.00","35000.00","0.00","0.00","NANDINI SWEETS","REPALLE","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","02-05-25","B","581","20.00","0.00","72500.00","0.00","0.00","SRIHAN TRADERS","AMALAPURAM","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","02-05-25","B","582","10.00","0.00","36500.00","0.00","0.00","KALYANI TADERS","BHIMAVARAM","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","02-05-25","B","585","4.00","0.00","10000.00","0.00","0.00","PADMAVATHI SWEETS","REPALLE","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","02-05-25","B","587","10.00","0.00","36500.00","0.00","0.00","NAGA VENKATA SAI DURGA GENERALS TANUKU","TANUKU","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","589","20.00","0.00","73500.00","0.00","0.00","VENKATA SRINIVASA RICE COMPANY","VIJAYAWADA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","590","8.00","0.00","30000.00","0.00","0.00","MAJETY POORNA","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","591","7.00","0.00","26250.00","0.00","0.00","MAJETY RAMESH","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","592","20.00","0.00","78000.00","0.00","0.00","SRI MADHURI FOODS","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","593","20.00","0.00","75000.00","0.00","0.00","M/S.YAKKALA VENKATA SUBBA RAO & CO","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","598","40.00","0.00","146000.00","0.00","0.00","SRI LALITHA OIL&OIL GENERAL STORES","ATHILI","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","601","10.00","0.00","37500.00","0.00","0.00","M/S.YAKKALA VENKATA SUBBA RAO & CO","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","606","10.00","0.00","36750.00","0.00","0.00","SRI VENKATARAMANA TRADERS","NANDIVELUGU","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","611","10.00","0.00","36500.00","0.00","0.00","POORNA TRADERS","VISSANNAPETA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","613","8.00","0.00","24000.00","0.00","0.00","SRINIVASA GURU","BAPATLA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","03-05-25","B","614","10.00","0.00","36000.00","0.00","0.00","SRI MANIKANTA DALL TRADERS","VIJAYAWADA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","620","10.00","0.00","36500.00","0.00","0.00","SRI VENKATESWAR GENRAL STORES","NUZIVEDU","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","621","10.00","0.00","36750.00","0.00","0.00","SRI BALAJI TRADERS,","TENALI","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","619","10.00","0.00","37000.00","0.00","0.00","KANAKA MARUTHI TRADERS","TENALI","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","627","35.00","0.00","127750.00","0.00","0.00","GANESH  TRADERS","GOLLAPALLI","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","629","10.00","0.00","35000.00","0.00","0.00","B.GOVINDA GURU","BAPATLA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","630","6.00","0.00","21000.00","0.00","0.00","B NARESH GARU","BAPATLA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","616","10.00","0.00","35000.00","0.00","0.00","M/S.YAKKALA VENKATA SUBBA RAO & CO","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","05-05-25","B","625","10.00","0.00","36000.00","0.00","0.00","TANGUTURI HANUMANTH RAO COMPANY","GUDIVADA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","06-05-25","B","632","12.00","0.00","43800.00","0.00","0.00","SRI SAI HANUMAN TRADERS","MYLAVARAM","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","06-05-25","B","633","10.00","0.00","36500.00","0.00","0.00","LAKSHMI SRINIVASA TRADERS;","VIJAYAWADA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","06-05-25","B","634","20.00","0.00","73000.00","0.00","0.00","BATHULA  HANUMANTHA RAO","KALIDINDI","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","06-05-25","B","635","20.00","0.00","70000.00","0.00","0.00","M/S.YAKKALA VENKATA SUBBA RAO & CO","GUNTUR","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","06-05-25","B","636","15.00","0.00","54750.00","0.00","0.00","NAGARAJA KIRANA&GENERAL STORES","KAIKALURU","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
"VIJAYAAMBICA ENTERPRISES VIJAYAWADA","Sale Aara","","01-05-25 To 29-05-25","Date","I.No.","Qty","Wt.","AMOUNT","C GST","S GST","Party Name","07-05-25","B","637","30.00","0.00","110625.00","0.00","0.00","ASHOKA TRADERS","VIJAYAWADA","TOTALS","7966.00","0.00","26565670.00","0.00","0.00","1"
