Product,Date,Invoice_No,Quantity,Weight,Amount,CGST,SGST,Party_Name,Location
08-05-25,B,661,8.00,0.00,0.00,0.00,HARSHA GENERAL STORES,PONNUR,TOTALS
08-05-25,B,662,7.00,0.00,0.00,0.00,HARSHA GENERAL STORES,PONNUR,TOTALS
08-05-25,B,666,6.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
08-05-25,B,667,10.00,0.00,0.00,0.00,SRI LAKSHMI VENKATESWRA TRADERS...,AKIVEDU,TOTALS
08-05-25,B,672,10.00,0.00,0.00,0.00,SRI PURNACHANDRA GENERAL STORES,REPALLE,TOTALS
08-05-25,B,674,10.00,0.00,0.00,0.00,NANDINI SWEETS,REPALLE,TOTALS
09-05-25,B,679,15.00,0.00,0.00,0.00,PADMAVATHI GENERAL STORES,ELURU,TOTALS
09-05-25,B,680,30.00,0.00,0.00,0.00,JAYA VAISHNAV GENERALS,MACHILIPATNAM,TOTALS
09-05-25,B,683,15.00,0.00,0.00,0.00,SUBRAMENYESWARA TRADERS,MACHILIPATNAM,TOTALS
09-05-25,B,685,60.00,0.00,0.00,0.00,JAYA VENKATESWARA ENTERPRISES,VIJAYAWADA,TOTALS
09-05-25,B,690,20.00,0.00,0.00,0.00,VARA MAHALAKSHMI TRADERS,VIJAYAWADA,TOTALS
09-05-25,B,691,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
10-05-25,B,699,15.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
10-05-25,B,703,20.00,0.00,0.00,0.00,SRI SAI TRADERS.,PAMUR,TOTALS
10-05-25,B,703,20.00,0.00,0.00,0.00,SRI SAI TRADERS.,PAMUR,TOTALS
10-05-25,B,704,10.00,0.00,0.00,0.00,B.GOVINDA GURU,BAPATLA,TOTALS
10-05-25,B,706,6.00,0.00,0.00,0.00,B NANI GARU,BAPATLA,TOTALS
10-05-25,B,708,40.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
10-05-25,B,710,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
10-05-25,B,714,20.00,0.00,0.00,0.00,SAI PRIYA TRADERS,KATTIPUDI,TOTALS
10-05-25,B,716,20.00,0.00,0.00,0.00,VEERABADHARA TRADERS,JAGGAMPETA,TOTALS
12-05-25,B,720,20.00,0.00,0.00,0.00,SRINIVAS OILS AND PROVISIONS,TENALI,TOTALS
12-05-25,B,721,30.00,0.00,0.00,0.00,IMMEDISETTY NAGARAJU,TENALI,TOTALS
12-05-25,B,722,22.00,0.00,0.00,0.00,RADHA KRISHNA KIRANA AND GENERAL STORES,KANKIPADU,TOTALS
12-05-25,B,724,10.00,0.00,0.00,0.00,M POORNA GARU,GUNTUR,TOTALS
12-05-25,B,725,10.00,0.00,0.00,0.00,JAYA VAISHNAV GENERALS,MACHILIPATNAM,TOTALS
13-05-25,B,740,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
13-05-25,B,745,10.00,0.00,0.00,0.00,LEELA CHANDRA RICE&GENERAL STORES,VIJAYAWADA,TOTALS
13-05-25,B,752,10.00,0.00,0.00,0.00,SAI PRIYA OIL & GENERAL MERCHANT,TUNI,TOTALS
13-05-25,B,738,25.00,0.00,0.00,0.00,JAYA VAISHNAV GENERALS,MACHILIPATNAM,TOTALS
13-05-25,B,739,20.00,0.00,0.00,0.00,SRI LAKSHMI ENTERPRISES,VIJAYAWADA,TOTALS
14-05-25,B,754,5.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
14-05-25,B,756,2.00,0.00,0.00,0.00,D.SATYANARAYANA GURU,REPALLE,TOTALS
14-05-25,B,757,6.00,0.00,0.00,0.00,VIJAYA SWEETS,REPALLE,TOTALS
14-05-25,B,753,15.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
14-05-25,B,762,6.00,0.00,0.00,0.00,PADMAVATHI SWEETS,REPALLE,TOTALS
15-05-25,B,771,10.00,0.00,0.00,0.00,SRI MANIKANTA TRADERS,ELURU,TOTALS
15-05-25,B,772,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
15-05-25,B,774,10.00,0.00,0.00,0.00,CHAKKA NANI,KAIKALURU,TOTALS
15-05-25,B,765,50.00,0.00,0.00,0.00,SRINIVAS OILS AND PROVISIONS,TENALI,TOTALS
15-05-25,B,768,20.00,0.00,0.00,0.00,SRI VENKATESWARA TRADERS  ..,PAMUR,TOTALS
16-05-25,B,775,26.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
16-05-25,B,777,20.00,0.00,0.00,0.00,SRI GANESH TRADERS,JANGAREDDYGUDEM,TOTALS
16-05-25,B,779,10.00,0.00,0.00,0.00,SAMBA MURTHI GARU,TENALI[CHINARAVURU],TOTALS
16-05-25,B,780,10.00,0.00,0.00,0.00,SRINIVAS GARU,TENALI[CHINARAVURU],TOTALS
16-05-25,B,782,20.00,0.00,0.00,0.00,GRANDHI MANIKYALA RAO ENTERPRISES,TADEPALLIGUDEM,TOTALS
16-05-25,B,784,10.00,0.00,0.00,0.00,KALYANI TADERS,BHIMAVARAM,TOTALS
16-05-25,B,786,20.00,0.00,0.00,0.00,LAKSHMI ENTERPRISES,PONNUR,TOTALS
16-05-25,B,787,10.00,0.00,0.00,0.00,B.GOVINDA GURU,BAPATLA,TOTALS
16-05-25,B,783,40.00,0.00,0.00,0.00,SRI BALA BALAJI GENERAL MERCHANTS,TADEPALLIGUDEM,TOTALS
16-05-25,B,788,10.00,0.00,0.00,0.00,B.GOVINDA GURU,BAPATLA,TOTALS
16-05-25,B,777,20.00,0.00,0.00,0.00,SRI GANESH TRADERS,JANGAREDDYGUDEM,TOTALS
17-05-25,B,790,30.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
17-05-25,B,793,22.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
17-05-25,B,798,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
17-05-25,B,798,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
17-05-25,B,801,75.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
19-05-25,B,807,10.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
19-05-25,B,808,40.00,0.00,0.00,0.00,BHASKARNI ADHISESAIAH AND CO,TENALI,TOTALS
19-05-25,B,808,10.00,0.00,0.00,0.00,BHASKARNI ADHISESAIAH AND CO,TENALI,TOTALS
19-05-25,B,811,10.00,0.00,0.00,0.00,SRI MANIKANTA TRADERS,ELURU,TOTALS
19-05-25,B,813,20.00,0.00,0.00,0.00,NAGARAJA KIRANA&GENERAL STORES,KAIKALURU,TOTALS
19-05-25,B,815,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
19-05-25,B,820,10.00,0.00,0.00,0.00,VENKATA LAKSHMI TRADERS,VIJAYAWADA,TOTALS
20-05-25,B,823,10.00,0.00,0.00,0.00,BHASKARNI ADHISESAIAH AND CO,TENALI,TOTALS
20-05-25,B,824,10.00,0.00,0.00,0.00,DIVYA JYOTHI GENERAL STORES,TENALI,TOTALS
20-05-25,B,825,10.00,0.00,0.00,0.00,KANAKA MARUTHI TRADERS,TENALI,TOTALS
20-05-25,B,835,8.00,0.00,0.00,0.00,B VENKATESWARLU,BAPATLA,TOTALS
20-05-25,B,836,7.00,0.00,0.00,0.00,B VENKATESWARLU,BAPATLA,TOTALS
20-05-25,B,841,10.00,0.00,0.00,0.00,SRI SRI PHANI RAGAVENDRA TRADERS,GUDIVADA,TOTALS
20-05-25,B,842,10.00,0.00,0.00,0.00,SRI SAI RAM GENRAL STORES,HANUMAN JUNCTIN,TOTALS
20-05-25,B,843,10.00,0.00,0.00,0.00,SRI VIJAYA DURGA RICE&GENERAL STORES,SATTUPALLI,TOTALS
20-05-25,B,844,10.00,0.00,0.00,0.00,LEELA CHANDRA RICE&GENERAL STORES,VIJAYAWADA,TOTALS
21-05-25,B,845,10.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
